"UBIPROV_INEI","PROVINCIA.x","AGUA_2017","DESAGUE_2017","LUZ_2017","PROMEDIO_SSBB_2017","AGUA_2007","DESAGUE_2007","LUZ_2007","PROMEDIO_SSBB_2007","AGUA_1993","DESAGUE_1993","LUZ_1993","PROMEDIO_SSBB_1993"
"0219","Sihuas",92.5959900406238,33.0362993054646,77.8141790066833,67.8154894509239,28.8975021533161,16.4656904966982,61.5848406546081,35.6493444348742,19.1369319914608,6.48063433973772,8.50869167429094,11.3754193351632
"0220","Yungay",90.3627959097913,35.5441938646869,79.9061493206331,68.6043796983705,65.1517521902378,20.1032540675845,53.3714017521902,46.2088026700042,16.975709252735,6.52697941776377,23.1596513999629,15.5541133568206
"0301","Abancay",96.9881732949323,69.4190820515963,90.6550646485692,85.6874399983659,59.2279570737843,52.8479893077558,71.7874130272416,61.2877864695939,43.7667976018193,32.6700434153401,41.6322100475501,39.3563503549032
"0302","Andahuaylas",96.7487733558011,44.4739059324974,79.0900530306785,73.437577439659,74.0871780356637,28.3328615907161,61.9105575997736,54.7768657420511,32.4440774119421,10.1324907543715,17.0155470180604,19.8640383947913
"0303","Antabamba",91.5890203978847,52.6819440946865,68.8995215311005,71.0568286745572,23.1459487991554,10.0290314067036,43.9693850620216,25.7147884226269,36.5351131746953,2.29251305861869,13.5229251305862,17.4501837879667
"0304","Aymaraes",93.331781682765,46.3633189805656,82.3577330385197,74.0176112339501,36.2143180788401,15.1110104213865,53.6361576801087,34.9871620601118,17.1802773497689,4.62249614791988,9.3477144324602,10.3834959767163
"0305","Cotabambas",92.7778926331748,35.3249259182689,68.989042795121,65.6972871155216,29.0805416963649,8.65110477548111,30.7555238774056,22.8290567830839,14.5147855060392,0.926697209496043,6.33069554352353,7.25739275301958
"0306","Chincheros",95.1603325415677,43.7128859857482,74.7847387173397,71.2193190815519,49.7195695012885,8.42049416401395,43.6865241776565,33.942195947653,17.4149659863946,3.85811467444121,7.52186588921283,9.59831551668286
"0307","Grau",90.3980596376088,37.5374518476245,79.1553716650021,69.0302943834118,22.8411857367893,11.6712014893312,50.7375053701847,28.4166308654351,22.1894867421306,3.86106373081098,19.3053186540549,15.1186230423321
"0401","Arequipa",94.704527482242,75.8145220607279,92.1488188350996,87.5559561260232,86.7776935445709,75.3815844749079,90.804791957392,84.3213566589569,84.5727829535588,59.2964588271185,82.2753619787389,75.381534586472
"0402","Camaná",80.8751936269086,62.6576676255809,89.4279707899978,77.6536106808291,73.0000691419484,44.6518702897048,73.7606305745696,63.8041900020743,42.9018676454712,20.7384216776422,46.6047716722444,36.7483536651193
"0403","Caravelí",66.5650406504065,48.9244579945799,87.4407181571816,67.6434056007227,48.5510334540805,27.5942893671426,63.9143405071383,46.6865544427871,45.4008438818565,13.3670886075949,38.2278481012658,32.3319268635724
"0404","Castilla",91.8367346938776,54.1707945314048,87.7848226669309,77.9307839640711,72.9182295573894,39.8068267066767,75.2906976744186,62.6719179794949,40.5589478628464,16.8154062940348,45.1503053076562,34.1748864881791
"0405","Caylloma",77.6288810779145,49.0773286467487,75.3734622144112,67.3598906463581,43.2152535811072,30.3087495160666,59.2963608207511,44.2734546393083,44.3209541881269,5.92753230324388,14.3399295201952,21.5294720038553
