UBIGEO,PROVINCIA,IDH_2017,ING_2017,PEA_ASALARIADA
0805,Canas,0.24066789386207,212.991547116993,19.0519323671498
0806,Canchis,0.46001931553108,563.650694117333,33.9680787452279
0807,Chumbivilcas,0.348874614011411,484.265718981849,38.6732064178236
0808,Espinar,0.445858892568378,693.00417931176,44.2058330265472
0809,La Convención,0.432169737112357,546.024962651007,32.6000809903969
0810,Paruro,0.245009257545371,266.991482272204,20.5116894574327
0811,Paucartambo,0.23019465160026,273.073465906125,21.5457289069676
0812,Quispicanchi,0.330939875076055,425.348054249127,34.3792493880881
0813,Urubamba,0.499611945301612,689.064708118039,43.1053954606725
0901,Huancavelica,0.375708497989378,495.564419365181,43.6898461538462
0902,Acobamba,0.297002612000439,275.665927965101,25.7806370626079
0903,Angaraes,0.313289294960766,329.257800167488,36.4802933088909
0904,Castrovirreyna,0.322025702407898,426.969923905098,31.7135549872123
0905,Churcampa,0.276156147331329,320.140251829243,30.5803781394036
0906,Huaytará,0.314826937270951,380.120299120534,31.0691440755407
0907,Tayacaja,0.326936157465462,389.677722009428,33.7789721195835
1001,Huánuco,0.50046739575495,729.044228083231,42.8846264996573
1002,Ambo,0.349362260210696,415.821075861656,30.8503625576796
1003,Dos de Mayo,0.365652046695193,540.843131700736,45.5102252673103
1004,Huacaybamba,0.298867861118031,296.759265792667,36.2944934590812
1005,Huamalíes,0.353666413661747,429.062744343682,33.211210844477
1006,Leoncio Prado,0.467015788546031,723.650451888158,40.9928380077634
1007,Marañón,0.301367490643781,398.680044440849,34.6277021617294
1008,Pachitea,0.252728630383195,346.289286213059,26.9493051981472
1009,Puerto Inca,0.362791527948983,597.4477986549,37.3019571295433
1010,Lauricocha,0.408664551139154,555.49491270311,44.7629051620648
1011,Yarowilca,0.293482210804843,283.040337166523,25.9128822984245
1101,Ica,0.63542548016471,998.541644432925,58.901559725283
1102,Chincha,0.597076473080515,913.985454040293,59.2113762060474
1103,Nasca,0.622573637305133,1011.95066059086,57.5422882561201
1104,Palpa,0.607706652090509,914.791465520829,62.4413960757076
1105,Pisco,0.567933263970658,903.395235953663,56.4326096615545
1201,Huancayo,0.538407614418852,800.966976520978,48.7650063227735
1202,Concepción,0.449625320150475,615.974820895398,43.7491540717347
1203,Chanchamayo,0.468219433153336,673.206655100994,41.0674770601599
1204,Jauja,0.49114780576158,747.783798765229,50.7299912049252
1205,Junín,0.42263020576884,555.293457937644,39.5736478058737
1206,Satipo,0.391307276565835,473.410857858308,33.7822185451537
1207,Tarma,0.468287956166921,658.693727299284,39.5590876657727
1208,Yauli,0.594257476519058,975.618348398367,64.5015946944768
1209,Chupaca,0.511049308705264,787.86310269623,45.5461781528739
1301,Trujillo,0.611906322185901,1047.2999766059,55.8036548195598
1302,Ascope,0.576263578653507,988.875938883463,60.3900353387723
1303,Bolívar,0.333118682473369,406.619939300221,33.5344627523787
1304,Chepén,0.559977715430805,962.087259997466,59.6572819776515
1305,Julcán,0.25010421867305,269.763644533138,22.0572514550422
1306,Otuzco,0.296393200395339,357.92719010648,25.8591163374814
1307,Pacasmayo,0.577447999914929,934.599816145319,58.2908131824792
1308,Pataz,0.410793345112844,668.488397533887,54.8541052304827
1309,Sánchez Carrión,0.317175320611016,429.307457906682,36.3355908510279
1310,Santiago de Chuco,0.354039184882485,443.893192253646,38.4238178633975
